Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum,Primary_Sales_cumsum,Secondary_Sales_cumsum,AverageUSD_cum,Sales_USD,Number_of_Sales,Active_Market_Wallets,Primary_Sales
03-08-2020,115842963.6,4813852,170426,3078322,338,24.06,137806.87,1140,165,802
04-08-2020,116279863.6,4819144,170517,3083119,495,24.13,436900.01,5292,91,4797
05-08-2020,116419793,4821162,170613,3084533,604,24.15,139929.46,2018,96,1414
06-08-2020,116540695.8,4822757,170684,3085496,632,24.16,120902.73,1595,71,963
07-08-2020,116666549.5,4824325,170781,3086270,794,24.18,125853.71,1568,97,774
08-08-2020,116810008.7,4826087,170805,3087210,822,24.2,143459.26,1762,24,940
09-08-2020,116958965.9,4827400,170861,3087994,529,24.23,148957.15,1313,56,784
10-08-2020,117046450.9,4828277,170950,3088489,382,24.24,87485.06,877,89,495
11-08-2020,117146757.2,4829111,171145,3088963,360,24.26,100306.27,834,195,474
12-08-2020,117227822.6,4829472,171258,3089205,119,24.27,81065.38,361,113,242
13-08-2020,117356145,4830487,171419,3089842,378,24.29,128322.45,1015,161,637
14-08-2020,117516204,4831460,171571,3090293,522,24.32,160058.98,973,152,451
15-08-2020,117674933,4832449,171609,3090909,373,24.35,158729.02,989,38,616
16-08-2020,117817667.9,4833669,171731,3091501,628,24.37,142734.82,1220,122,592
17-08-2020,117906823.5,4834585,171788,3091995,422,24.39,89155.66,916,57,494
18-08-2020,118077596.4,4835631,171831,3092641,400,24.42,170772.88,1046,43,646
19-08-2020,118184704.5,4836632,171897,3093256,386,24.44,107108.13,1001,66,615
20-08-2020,118309592.8,4837899,172057,3094071,452,24.45,124888.24,1267,160,815
21-08-2020,118430363.7,4838823,172157,3094627,368,24.48,120770.9,924,100,556
22-08-2020,118564232,4839856,172260,3095228,432,24.5,133868.29,1033,103,601
23-08-2020,118757708.9,4841179,172411,3095995,556,24.53,193476.96,1323,151,767
24-08-2020,118878641.5,4842168,172514,3096577,407,24.55,120932.57,989,103,582
25-08-2020,118999325.8,4843432,172705,3097322,519,24.57,120684.33,1264,191,745
26-08-2020,119132610.2,4844606,172826,3098102,394,24.59,133284.37,1174,121,780
27-08-2020,119284361.6,4845921,172925,3098905,512,24.62,151751.44,1315,99,803
28-08-2020,119539338.6,4847375,172973,3099785,574,24.66,254976.95,1454,48,880
29-08-2020,119692053.1,4850479,173038,3102351,538,24.68,152714.5,3104,65,2566
30-08-2020,119839522.5,4853171,173084,3104689,354,24.69,147469.43,2692,46,2338
31-08-2020,120000285.2,4854473,173177,3105699,292,24.72,160762.73,1302,93,1010
01-09-2020,120063072.5,4854763,173194,3105926,63,24.73,62787.24,290,17,227
02-09-2020,120133376.3,4855331,173461,3106338,156,24.74,70303.83,568,267,412
03-09-2020,120275193.5,4856654,173654,3107322,339,24.77,141817.17,1323,193,984
04-09-2020,120418152.5,4858062,173749,3108277,453,24.79,142959,1408,95,955
05-09-2020,120502453.5,4859287,173918,3109166,336,24.8,84300.99,1225,169,889
06-09-2020,120673369.7,4860864,174089,3110135,608,24.83,170916.28,1577,171,969
07-09-2020,120828804,4862522,174234,3111238,555,24.85,155434.28,1658,145,1103
08-09-2020,120943344.2,4863994,174413,3112213,497,24.87,114540.14,1472,179,975
09-09-2020,121084105.5,4865475,174515,3113140,554,24.89,140761.29,1481,102,927
10-09-2020,121220290,4866699,174563,3113884,480,24.91,136184.55,1224,48,744
11-09-2020,121435871.9,4868083,174900,3114703,565,24.95,215581.91,1384,337,819
12-09-2020,121625707.1,4869461,175165,3115573,508,24.98,189835.19,1378,265,870
13-09-2020,121884008.3,4871049,175395,3116575,586,25.02,258301.17,1588,230,1002
14-09-2020,122140196.3,4872313,175658,3117313,526,25.07,256188.03,1264,263,738
15-09-2020,122619190.4,4875270,175767,3119480,790,25.15,478994.07,2957,109,2167
16-09-2020,122814776.2,4877917,176012,3121392,735,25.18,195585.79,2647,245,1912
17-09-2020,122994267.8,4879544,176154,3122767,252,25.21,179491.67,1627,142,1375
18-09-2020,123401589,4882740,176594,3125048,915,25.27,407321.15,3196,440,2281
19-09-2020,123700103.4,4884578,177160,3125962,924,25.32,298514.39,1838,566,914
20-09-2020,124129920,4886901,177483,3127103,1182,25.4,429816.64,2323,323,1141
21-09-2020,124345022.4,4888632,177904,3127953,881,25.44,215102.36,1731,421,850
22-09-2020,124912333.4,4892540,178322,3129829,2032,25.53,567311.02,3908,418,1876
23-09-2020,125394212.1,4897540,178679,3131426,3403,25.6,481878.74,5000,357,1597
24-09-2020,126094516.2,4900957,178940,3132959,1884,25.73,700304.08,3417,261,1533
25-09-2020,126885618.3,4905059,179192,3134232,2829,25.87,791102.04,4102,252,1273
26-09-2020,127550445.8,4907912,179458,3135511,1574,25.99,664827.56,2853,266,1279
27-09-2020,128196830.2,4911178,179716,3136934,1843,26.1,646384.39,3266,258,1423
28-09-2020,129243556.6,4914137,180118,3138235,1658,26.3,1046726.43,2959,402,1301
29-09-2020,129817528,4916569,180354,3139293,1374,26.4,573971.34,2432,236,1058
30-09-2020,130227151.7,4919111,180685,3140536,1299,26.47,409623.7,2542,331,1243
01-10-2020,130617862.8,4921458,181036,3141790,1093,26.54,390711.16,2347,351,1254
02-10-2020,130958681.9,4923914,181245,3142984,1262,26.6,340819.09,2456,209,1194
03-10-2020,131408938.6,4927176,181471,3144965,1281,26.67,450256.71,3262,226,1981
04-10-2020,131810241.9,4929883,181784,3146385,1287,26.74,401303.3,2707,313,1420
05-10-2020,132187882.5,4932792,182020,3148173,1121,26.8,377640.53,2909,236,1788
06-10-2020,132562298.2,4936003,182173,3149882,1502,26.86,374415.73,3211,153,1709
07-10-2020,132957403.7,4938836,182453,3151347,1368,26.92,395105.47,2833,280,1465
08-10-2020,133365254.5,4941376,182532,3152829,1058,26.99,407850.84,2540,79,1482
09-10-2020,133788198.2,4944185,182759,3154446,1192,27.06,422943.7,2809,227,1617
10-10-2020,134156506.7,4946666,183188,3155874,1053,27.12,368308.45,2481,429,1428
11-10-2020,134476320.2,4949696,183556,3157701,1203,27.17,319813.57,3030,368,1827
12-10-2020,134784590.7,4952369,183751,3159325,1049,27.22,308270.43,2673,195,1624
13-10-2020,135055793.4,4954835,184103,3160875,916,27.26,271202.76,2466,352,1550
14-10-2020,135385040.1,4957651,184238,3162512,1179,27.31,329246.65,2816,135,1637
15-10-2020,135872254.6,4960310,184497,3163989,1182,27.39,487214.53,2659,259,1477
16-10-2020,136158231.8,4962781,184680,3165639,821,27.44,285977.24,2471,183,1650
17-10-2020,136618638.3,4966013,184890,3167491,1380,27.51,460406.47,3232,210,1852
18-10-2020,136955123.7,4969184,185088,3169459,1203,27.56,336485.38,3171,198,1968
19-10-2020,137385896.9,4971979,185231,3171277,977,27.63,430773.26,2795,143,1818
20-10-2020,137607466.8,4974220,185522,3172627,891,27.66,221569.85,2241,291,1350
21-10-2020,137905540.3,4976274,185774,3173868,813,27.71,298073.53,2054,252,1241
22-10-2020,138415959.2,4978365,186017,3175150,809,27.8,510418.9,2091,243,1282
23-10-2020,138673365.4,4981070,186303,3176530,1325,27.84,257406.16,2705,286,1380
24-10-2020,139099678.3,4985944,186506,3179493,1911,27.9,426312.89,4874,203,2963
25-10-2020,139460777.3,4991541,186771,3183546,1544,27.94,361098.98,5597,265,4053
26-10-2020,139772354.7,4995283,187064,3185926,1362,27.98,311577.41,3742,293,2380
27-10-2020,139981373,4999455,187292,3188692,1406,28,209018.33,4172,228,2766
28-10-2020,140253938.7,5002610,187551,3190734,1113,28.04,272565.73,3155,259,2042
29-10-2020,140506466.4,5005985,187828,3192807,1302,28.07,252527.71,3375,277,2073
30-10-2020,140751430.8,5009519,188012,3195106,1235,28.1,244964.38,3534,184,2299
31-10-2020,141045163.1,5014233,188153,3198386,1434,28.13,293732.24,4714,141,3280
01-11-2020,141395851.9,5017482,188389,3200568,1067,28.18,350688.84,3249,236,2182
02-11-2020,141620797.4,5019895,188540,3202053,928,28.21,224945.46,2413,151,1485
03-11-2020,141955931.3,5022438,188728,3203609,987,28.26,335133.93,2543,188,1556
04-11-2020,142230074.9,5025093,188917,3205278,986,28.3,274143.61,2655,189,1669
05-11-2020,142431669.5,5027606,189268,3206927,864,28.33,201594.57,2513,351,1649
06-11-2020,142897447,5029857,189537,3208285,893,28.41,465777.56,2251,269,1358
07-11-2020,143202630.4,5032462,189958,3209992,898,28.46,305183.4,2605,421,1707
08-11-2020,143522436.6,5036091,191025,3212362,1259,28.5,319806.15,3629,1067,2370
09-11-2020,143765799,5038871,191201,3214225,917,28.53,243362.46,2780,176,1863
10-11-2020,144117437.3,5041937,191604,3216127,1164,28.58,351638.29,3066,403,1902
11-11-2020,144507895.9,5045017,191928,3217968,1239,28.64,390458.61,3080,324,1841
12-11-2020,145515837.5,5061972,192215,3233284,1639,28.75,1007941.6,16955,287,15316
13-11-2020,145968590,5065338,192442,3234796,1854,28.82,452752.47,3366,227,1512
14-11-2020,146417778.3,5069488,192807,3237141,1805,28.88,449188.33,4150,365,2345
15-11-2020,146788827.7,5073308,193145,3239103,1858,28.93,371049.37,3820,338,1962
16-11-2020,147121779,5076412,193356,3240874,1333,28.98,332951.32,3104,211,1771
17-11-2020,147401679.7,5078809,193663,3242065,1206,29.02,279900.63,2397,307,1191
18-11-2020,147714020.1,5081368,194135,3243239,1385,29.07,312340.49,2559,472,1174
19-11-2020,148082851.4,5084411,194323,3244863,1419,29.12,368831.26,3043,188,1624
20-11-2020,148355151.5,5086781,194491,3246121,1112,29.16,272300.09,2370,168,1258
21-11-2020,149007321.3,5089239,194647,3247536,1043,29.28,652169.85,2458,156,1415
22-11-2020,149360195.7,5091777,194906,3248978,1096,29.33,352874.39,2538,259,1442
23-11-2020,149668800.1,5093635,195392,3249961,875,29.38,308604.39,1858,486,983
24-11-2020,149876170.3,5095288,195743,3250856,758,29.41,207370.19,1653,351,895
25-11-2020,150090416.6,5097441,196187,3252220,789,29.44,214246.31,2153,444,1364
26-11-2020,150308019.5,5099364,196330,3253423,720,29.48,217602.92,1923,143,1203
27-11-2020,150653418.2,5103891,196502,3256797,1153,29.52,345398.67,4527,172,3374
28-11-2020,151001544.3,5108081,196889,3259916,1071,29.56,348126.06,4190,387,3119
29-11-2020,151457389.7,5111637,197074,3262451,1021,29.63,455845.47,3556,185,2535
30-11-2020,151720652.3,5113410,197331,3263558,666,29.67,263262.58,1773,257,1107
01-12-2020,151886721.2,5115568,197677,3264928,788,29.69,166068.88,2158,346,1370
02-12-2020,152371500.3,5118445,197767,3266928,877,29.77,484779.11,2877,90,2000
03-12-2020,152598266.4,5120962,197995,3268752,693,29.8,226766.05,2517,228,1824
04-12-2020,153065773.5,5123914,198213,3270844,860,29.87,467507.13,2952,218,2092
05-12-2020,153406949.5,5127351,198461,3273360,921,29.92,341175.97,3437,248,2516
06-12-2020,153791624.1,5131008,198687,3275895,1122,29.97,384674.68,3657,226,2535
07-12-2020,154031541.7,5133761,199230,3277706,942,30,239917.58,2753,543,1811
08-12-2020,154338535.9,5136192,199505,3279227,910,30.05,306994.18,2431,275,1521
09-12-2020,154529766.1,5138393,199794,3280709,719,30.07,191230.19,2201,289,1482
10-12-2020,154746078,5141039,200169,3282574,781,30.1,216311.91,2646,375,1865
11-12-2020,155442427.4,5149216,200347,3289722,1029,30.19,696349.38,8177,178,7148
12-12-2020,155731246.2,5153034,200649,3292326,1214,30.22,288818.83,3818,302,2604
13-12-2020,156125667.2,5156149,200730,3294360,1081,30.28,394420.99,3115,81,2034
14-12-2020,156383748.6,5158669,201082,3296085,795,30.31,258081.36,2520,352,1725
15-12-2020,156573880.8,5160821,201402,3297405,832,30.34,190132.25,2152,320,1320
16-12-2020,156802829.6,5162688,201724,3298644,628,30.37,228948.82,1867,322,1239
17-12-2020,157054360.4,5163940,201867,3299453,443,30.41,251530.73,1252,143,809
18-12-2020,157345043.3,5166344,202165,3301119,738,30.46,290682.91,2404,298,1666
19-12-2020,157663398.9,5168986,202628,3303076,685,30.5,318355.59,2642,463,1957
20-12-2020,158203922.4,5172040,202978,3305162,968,30.59,540523.57,3054,350,2086
21-12-2020,158553045.5,5174244,203258,3306784,582,30.64,349123.02,2204,280,1622
22-12-2020,159102090.7,5177015,203506,3308611,944,30.73,549045.24,2771,248,1827
23-12-2020,159382745.3,5179069,203842,3310071,594,30.77,280654.58,2054,336,1460
24-12-2020,159747426.1,5181495,204055,3311725,772,30.83,364680.86,2426,213,1654
25-12-2020,160113297.3,5183403,204281,3312895,738,30.89,365871.2,1908,226,1170
26-12-2020,160467270,5185664,204557,3314483,673,30.94,353972.67,2261,276,1588
27-12-2020,160857129.8,5187905,204842,3316053,671,31.01,389859.76,2241,285,1570
28-12-2020,161097429.8,5189608,205112,3317099,657,31.04,240300.08,1703,270,1046
29-12-2020,161334113.9,5191470,205330,3318264,697,31.08,236684.09,1862,218,1165
30-12-2020,161690462.6,5193041,205449,3319215,620,31.14,356348.62,1571,119,951
31-12-2020,161947774.6,5194742,205513,3320409,507,31.18,257312,1701,64,1194
01-01-2021,162400359.7,5198261,205677,3323215,713,31.24,452585.19,3519,164,2806
02-01-2021,162665766.5,5200384,205770,3324706,632,31.28,265406.8,2123,93,1491
03-01-2021,162992791.8,5201594,206023,3325460,456,31.34,327025.26,1210,253,754
04-01-2021,163360209.8,5202998,206138,3326338,526,31.4,367417.95,1404,115,878
05-01-2021,163975849.6,5204477,206339,3327218,599,31.51,615639.81,1479,201,880
06-01-2021,164950126.8,5206090,206770,3328270,561,31.68,974277.24,1613,431,1052
07-01-2021,165433382.2,5207407,206812,3329058,529,31.77,483255.35,1317,42,788
08-01-2021,166002047.7,5209537,207022,3330372,816,31.87,568665.57,2130,210,1314
09-01-2021,166531906.6,5211479,207347,3331640,674,31.95,529858.9,1942,325,1268
10-01-2021,167373715.4,5213293,207725,3332715,739,32.11,841808.73,1814,378,1075
11-01-2021,167650322.5,5214563,207999,3333435,550,32.15,276607.19,1270,274,720
12-01-2021,167961010.9,5216224,208236,3334439,657,32.2,310688.37,1661,237,1004
13-01-2021,168513784.8,5218614,208426,3336087,742,32.29,552773.88,2390,190,1648
14-01-2021,168978072.3,5221345,208658,3338193,625,32.36,464287.5,2731,232,2106
15-01-2021,169423719.1,5223806,208739,3339993,661,32.43,445646.8,2461,81,1800
16-01-2021,170076354,5227163,208888,3342830,520,32.54,652634.95,3357,149,2837
17-01-2021,170584953.1,5229154,209036,3344086,735,32.62,508599.1,1991,148,1256
18-01-2021,171286103.1,5231164,209288,3345188,908,32.74,701149.96,2010,252,1102
19-01-2021,171806263.8,5232791,209459,3346106,709,32.83,520160.73,1627,171,918
20-01-2021,172412900.5,5234962,209803,3347374,903,32.93,606636.66,2171,344,1268
21-01-2021,172997610.6,5237175,210100,3348792,795,33.03,584710.11,2213,297,1418
22-01-2021,173618322.9,5239440,210377,3349927,1130,33.14,620712.25,2265,277,1135
23-01-2021,175120115.7,5241645,210650,3351281,851,33.41,1501792.84,2205,273,1354
24-01-2021,176226081.1,5244015,210836,3352744,907,33.61,1105965.41,2370,186,1463
25-01-2021,176974439.7,5245841,211108,3353831,739,33.74,748358.62,1826,272,1087
26-01-2021,177792577.6,5248884,212078,3355714,1160,33.87,818137.9,3043,970,1883
27-01-2021,178934724.7,5251124,213066,3357035,919,34.08,1142147.12,2240,988,1321
28-01-2021,179595151.3,5252484,213986,3357810,585,34.19,660426.6,1360,920,775
29-01-2021,180828583.6,5255412,214351,3359794,944,34.41,1233432.28,2928,365,1984
30-01-2021,183952803.6,5261692,214647,3365071,1003,34.96,3124219.98,6280,296,5277
31-01-2021,190711470.9,5270011,214840,3372256,1134,36.19,6758667.29,8319,193,7185
01-02-2021,198630910.7,5275607,215050,3376498,1354,37.65,7919439.8,5596,210,4242
02-02-2021,205513430.1,5279316,215550,3378034,2173,38.93,6882519.44,3709,500,1536
03-02-2021,208929918.9,5281683,215905,3378911,1490,39.56,3416488.72,2367,355,877
04-02-2021,212659317.5,5283607,216077,3379853,982,40.25,3729398.69,1924,172,942
05-02-2021,214850029.2,5285149,216236,3380502,893,40.65,2190711.63,1542,159,649
06-02-2021,217291743,5288080,216431,3382370,1063,41.09,2441713.82,2931,195,1868
07-02-2021,219792673.6,5290548,217018,3383890,948,41.54,2500930.59,2468,587,1520
08-02-2021,223696249.6,5292182,217342,3384753,771,42.27,3903576.04,1634,324,863
09-02-2021,226437550.2,5293665,217625,3385355,881,42.78,2741300.56,1483,283,602
10-02-2021,228171703,5294738,218106,3385874,554,43.09,1734152.8,1073,481,519
11-02-2021,231788191.5,5298324,218599,3387875,1585,43.75,3616488.56,3586,493,2001
12-02-2021,233765993.3,5301298,219372,3389854,995,44.1,1977801.76,2974,773,1979
13-02-2021,237897741.1,5304435,219841,3391715,1276,44.85,4131747.79,3137,469,1861
14-02-2021,245666344.5,5308303,220595,3393737,1846,46.28,7768603.38,3868,754,2022
15-02-2021,251908398.2,5311745,221042,3395347,1832,47.42,6242053.71,3442,447,1610
16-02-2021,260373014.2,5316441,221368,3398009,2034,48.98,8464616.04,4696,326,2662
17-02-2021,270349809.2,5320520,222048,3400201,1887,50.81,9976794.99,4079,680,2192
18-02-2021,280410340.7,5324073,222726,3402096,1658,52.67,10060531.53,3553,678,1895
19-02-2021,292134354.6,5327487,223114,3404114,1396,54.84,11724013.87,3414,388,2018
20-02-2021,300461468.5,5330756,224002,3405847,1536,56.36,8327113.91,3269,888,1733
21-02-2021,316953894,5336705,224957,3409618,2178,59.39,16492425.47,5949,955,3771
22-02-2021,332589970.3,5340354,225978,3411365,1902,62.28,15636076.33,3649,1021,1747
23-02-2021,339038236.5,5342808,227668,3412679,1140,63.46,6448266.13,2454,1690,1314
24-02-2021,346970156.9,5348129,228900,3414841,3159,64.88,7931920.48,5321,1232,2162
25-02-2021,352672358,5353683,230136,3417903,2492,65.87,5702201.04,5554,1236,3062
26-02-2021,359144731.6,5362001,231931,3420385,5836,66.98,6472373.66,8318,1795,2482
27-02-2021,368032800,5373456,233261,3425065,6775,68.49,8888068.37,11455,1330,4680
28-02-2021,375020237.8,5379877,234562,3428240,3246,69.71,6987437.77,6421,1301,3175
01-03-2021,384836854,5393192,235729,3438859,2696,71.36,9816616.24,13315,1167,10619
02-03-2021,395832285.1,5402443,237434,3444070,4040,73.27,10995431.11,9251,1705,5211
03-03-2021,405311572.9,5409114,239199,3447003,3738,74.93,9479287.73,6671,1765,2933
04-03-2021,412478336.6,5415664,240373,3450323,3230,76.16,7166763.71,6550,1174,3320
05-03-2021,420293565.4,5423478,241400,3454911,3226,77.5,7815228.88,7814,1027,4588
06-03-2021,425696068.9,5430345,242972,3458852,2926,78.39,5402503.42,6867,1572,3941
07-03-2021,432470222.9,5439852,243909,3466020,2339,79.5,6774154.06,9507,937,7168
08-03-2021,442431723.6,5449029,245401,3472002,3195,81.19,9961500.65,9177,1492,5982
09-03-2021,453394434.1,5457248,247757,3477126,3095,83.08,10962710.57,8219,2356,5124
10-03-2021,462642979.3,5468935,249702,3485695,3118,84.59,9248545.14,11687,1945,8569
11-03-2021,491713984.6,5476726,251392,3490418,3068,89.78,29071005.33,7791,1690,4723
12-03-2021,507949005.2,5483946,253112,3494828,2810,92.62,16235020.63,7220,1720,4410
13-03-2021,523662259.5,5495034,254767,3502859,3057,95.3,15713254.23,11088,1655,8031
14-03-2021,538370944.8,5503922,256015,3507929,3818,97.82,14708685.33,8888,1248,5070
15-03-2021,548936721.7,5511278,258059,3511941,3344,99.6,10565776.9,7356,2044,4012
16-03-2021,559179661.9,5520217,259566,3517612,3268,101.3,10242940.21,8939,1507,5671
17-03-2021,571089944.6,5529997,260946,3524309,3083,103.27,11910282.67,9780,1380,6697
18-03-2021,581727465.4,5539337,262015,3530288,3361,105.02,10637520.8,9340,1069,5979
19-03-2021,589608015.4,5549739,263942,3537639,3051,106.24,7880550.05,10402,1927,7351
20-03-2021,599850691.5,5558571,264994,3543401,3070,107.91,10242676.03,8832,1052,5762
21-03-2021,613182285.3,5572138,266013,3553357,3611,110.04,13331593.79,13567,1019,9956
22-03-2021,621416194.7,5579541,266937,3557310,3450,111.37,8233909.44,7403,924,3953
23-03-2021,628142796.2,5586440,268098,3561573,2636,112.44,6726601.49,6899,1161,4263
24-03-2021,635269105.7,5591806,269005,3564615,2324,113.61,7126309.56,5366,907,3042
25-03-2021,640006305.6,5596572,269767,3567408,1973,114.36,4737199.89,4766,762,2793
26-03-2021,645726251.4,5604350,270560,3572750,2436,115.22,5719945.76,7778,793,5342
27-03-2021,652077443.7,5611626,271341,3577757,2269,116.2,6351192.34,7276,781,5007
28-03-2021,658373245.7,5618183,271722,3582040,2274,117.19,6295801.95,6557,381,4283
29-03-2021,665436992,5624139,272389,3585494,2502,118.32,7063746.29,5956,667,3454
30-03-2021,673347430.1,5629303,273133,3588595,2063,119.61,7910438.1,5164,744,3101
31-03-2021,680020360.9,5633849,274113,3591483,1658,120.7,6672930.78,4546,980,2888
01-04-2021,686493215.2,5638188,274886,3594151,1671,121.76,6472854.33,4339,773,2668
02-04-2021,691883377.4,5641877,276346,3596987,853,122.63,5390162.23,3689,1460,2836
03-04-2021,697335833,5646234,277224,3599831,1513,123.5,5452455.57,4357,878,2844
04-04-2021,701952775,5652220,278050,3603366,2451,124.19,4616942.05,5986,826,3535
05-04-2021,708249538.4,5657214,279009,3606730,1630,125.19,6296763.32,4994,959,3364
06-04-2021,712967248.7,5661882,280121,3609659,1739,125.92,4717710.39,4668,1112,2929
07-04-2021,717420817.1,5669787,280706,3615869,1695,126.53,4453568.35,7905,585,6210
08-04-2021,729847301.5,5675818,281693,3620065,1835,128.59,12426484.38,6031,987,4196
09-04-2021,741021252.9,5681613,282622,3623984,1876,130.42,11173951.38,5795,929,3919
10-04-2021,748311990.4,5688233,283667,3628679,1925,131.55,7290737.59,6620,1045,4695
11-04-2021,773267888.4,5695229,284464,3633557,2118,135.77,24955897.97,6996,797,4878
12-04-2021,780778848.2,5700601,285203,3637168,1761,136.96,7510959.75,5372,739,3611
13-04-2021,789482376.5,5706042,285919,3640622,1987,138.36,8703528.31,5441,716,3454
14-04-2021,803726484.6,5713295,286304,3646431,1444,140.68,14244108.17,7253,385,5809
15-04-2021,814206813.7,5718337,286709,3650076,1397,142.39,10480329.06,5042,405,3645
16-04-2021,826317003.9,5723564,287257,3653512,1791,144.37,12110190.19,5227,548,3436
17-04-2021,832949812.8,5728540,287651,3656971,1517,145.4,6632808.91,4976,394,3459
18-04-2021,838886272.8,5733201,288695,3660189,1443,146.32,5936459.99,4661,1044,3218
19-04-2021,845305015.1,5736943,289524,3662842,1089,147.34,6418742.33,3742,829,2653
20-04-2021,850577357.4,5739440,290113,3664806,533,148.2,5272342.31,2497,589,1964
21-04-2021,856526270,5743423,290990,3667403,1386,149.13,5948912.53,3983,877,2597
22-04-2021,862145380.4,5748170,292090,3670878,1272,149.99,5619110.43,4747,1100,3475
23-04-2021,867902157.9,5753891,293139,3674783,1816,150.84,5756777.52,5721,1049,3905
24-04-2021,872630817.7,5759079,294322,3678697,1274,151.52,4728659.79,5188,1183,3914
25-04-2021,875930337.7,5764702,295914,3682780,1540,151.95,3299519.99,5623,1592,4083
26-04-2021,880835511.7,5770546,297407,3687217,1407,152.64,4905174.01,5844,1493,4437
27-04-2021,890628540.5,5777814,298945,3693017,1468,154.15,9793028.78,7268,1538,5800
28-04-2021,896413542.5,5783782,300324,3697808,1177,154.99,5785002.01,5968,1379,4791
29-04-2021,900890810.2,5789080,300937,3701867,1239,155.62,4477267.69,5298,613,4059
30-04-2021,907420843.4,5795758,301657,3706637,1908,156.57,6530033.18,6678,720,4770
01-05-2021,917186286.6,5812397,302534,3720033,3243,157.8,9765443.24,16639,877,13396
02-05-2021,927590860.7,5818457,303554,3723041,3052,159.42,10404574.07,6060,1020,3008
03-05-2021,1032258516,5833142,303928,3734597,3129,176.96,104667655.5,14685,374,11556
04-05-2021,1064778309,5839823,304223,3738491,2787,182.33,32519793.13,6681,295,3894
05-05-2021,1078908587,5844482,304504,3741404,1746,184.6,14130277.27,4659,281,2913
06-05-2021,1089776074,5849191,304736,3744495,1618,186.31,10867487.61,4709,232,3091
07-05-2021,1097584937,5853467,307256,3747111,1660,187.51,7808862.9,4276,2520,2616
08-05-2021,1108385115,5856035,308316,3748825,854,189.27,10800178.01,2568,1060,1714
09-05-2021,1118385440,5859414,308708,3750740,1464,190.87,10000325.34,3379,392,1915
10-05-2021,1125819813,5860775,309574,3751545,556,192.09,7434372.99,1361,866,805
11-05-2021,1133463092,5862342,310643,3752560,552,193.35,7643278.62,1567,1069,1015
12-05-2021,1157950269,5866545,311047,3756156,607,197.38,24487177.43,4203,404,3596
13-05-2021,1173132633,5870500,311353,3758968,1143,199.84,15182363.21,3955,306,2812
14-05-2021,1185305491,5876122,311633,3762752,1838,201.72,12172858.4,5622,280,3784
15-05-2021,1193452391,5880662,312205,3765620,1672,202.95,8146899.9,4540,572,2868
16-05-2021,1200162568,5884798,312679,3768605,1151,203.94,6710176.62,4136,474,2985
17-05-2021,1204026946,5887999,313042,3770709,1097,204.49,3864378.37,3201,363,2104
18-05-2021,1209159042,5891598,313280,3772874,1434,205.23,5132095.7,3599,238,2165
19-05-2021,1211705733,5893939,313683,3774173,1042,205.59,2546691.23,2341,403,1299
20-05-2021,1214779409,5898676,315126,3777441,1469,205.94,3073676.21,4737,1443,3268
21-05-2021,1218481177,5903083,316203,3780364,1484,206.41,3701768.27,4407,1077,2923
22-05-2021,1224229824,5908602,317072,3783659,2224,207.19,5748646.37,5519,869,3295
23-05-2021,1227300916,5911684,317512,3785437,1304,207.61,3071092.22,3082,440,1778
24-05-2021,1231913164,5915651,318259,3787544,1860,208.25,4612247.97,3967,747,2107
25-05-2021,1235544703,5919673,318851,3789622,1944,208.72,3631538.59,4022,592,2078
26-05-2021,1239356096,5923795,319681,3791738,2006,209.22,3811393.4,4122,830,2116
27-05-2021,1245602939,5930089,320422,3795794,2238,210.05,6246842.83,6294,741,4056
28-05-2021,1250695018,5934586,321077,3798784,1507,210.75,5092078.94,4497,655,2990
29-05-2021,1255260432,5938867,321603,3801711,1354,211.36,4565414.56,4281,526,2927
30-05-2021,1259489049,5943281,322658,3804321,1804,211.92,4228616.31,4414,1055,2610
31-05-2021,1263494399,5947708,323456,3807123,1625,212.43,4005350.55,4427,798,2802
01-06-2021,1269061265,5952914,323949,3810309,2020,213.18,5566865.92,5206,493,3186
02-06-2021,1272370275,5956883,324481,3812722,1556,213.6,3309010.16,3969,532,2413
03-06-2021,1275449444,5960872,325334,3815267,1444,213.97,3079168.97,3989,853,2545
04-06-2021,1278414617,5965180,326240,3818247,1328,214.31,2965173.14,4308,906,2980
05-06-2021,1281370096,5969668,327403,3820994,1741,214.65,2955479,4488,1163,2747
06-06-2021,1285426322,5974135,327895,3823971,1490,215.17,4056225.68,4467,492,2977
07-06-2021,1291142539,5978729,328580,3826847,1718,215.96,5716216.64,4594,685,2876
08-06-2021,1295634967,5983509,329200,3830156,1471,216.53,4492428.61,4780,620,3309
09-06-2021,1298956200,5989188,330057,3834488,1347,216.88,3321232.26,5679,857,4332
10-06-2021,1303176531,5995688,330924,3839506,1482,217.35,4220331.47,6500,867,5018
11-06-2021,1312625468,6009116,331593,3850043,2891,218.44,9448937.32,13428,669,10537
12-06-2021,1315308451,6013517,332687,3852623,1821,218.73,2682982.89,4401,1094,2580
13-06-2021,1317632191,6018090,333585,3855450,1746,218.95,2323739.39,4573,898,2827
14-06-2021,1320990791,6024139,334614,3860086,1413,219.28,3358600.72,6049,1029,4636
15-06-2021,1328560181,6038080,335448,3871093,2934,220.03,7569389.92,13941,834,11007
16-06-2021,1334047239,6045200,335832,3875039,3174,220.68,5487057.97,7120,384,3946
